CNES;Motivo_Erro;ID_Municipio;Nome_Unidade;Latitude;Longitude;Rua;Numero;Bairro
21830;Caiu em cidade errada. Esperado: IBGE 410020;410020;MINI POSTO PERAU;-24.6592256;-48.9907432;ESTRADA DO PERAU;S/N;PERAU
25518;Caiu em cidade errada. Esperado: IBGE 412120;412120;UBS RIBEIRAO VERMELHO;-25.95426594038709;-49.5586250900454;RUA PRINCIPAL;S/N;RIBEIRAO VERMELHO
31542;Caiu em cidade errada. Esperado: IBGE 250153;250153;UBS PREFEITO ALYSON JOSE DA SILVA AZEVEDO;-6.588715;-36.26209;SITIO DOS MENDES;S/N;ZONA RURAL
32107;Caiu em cidade errada. Esperado: IBGE 315780;315780;VALE CENTRO DE DESENVOLVIMENTO MINERAL;-19.8332468674;-43.8557052612;BR 381;S/N;DISTRITO INDUSTRIAL
78719;Caiu em cidade errada. Esperado: IBGE 120038;120038;CENTRAL DE ABASTECIMENTO DA ASSISTENCIA BASICA;-9.965744;-67.833669;CORONEL FONTENELLE DE CASTRO;1080;CENTRO
82775;Caiu em cidade errada. Esperado: IBGE 355030;355030;CONECTA SAUDE ODONTOLOGIA CIDADE KEMEL LTDA;-23.5082;-46.366188;R DESEMBARGADOR PAULO OCTAVIANO D JUNQUEIRA;326;CIDADE KEMEL
108928;Caiu em cidade errada. Esperado: IBGE 291950;291950;CENTRAL MUNICIPAL DE REDE DE FRIOS DE LIVRAMENTO;-13.4216;-41.6834;PRACA SENADOR TANAJURA;27;CENTRO
109088;Caiu em cidade errada. Esperado: IBGE 313520;313520;VM CLINICA ODONTOLOGICA E PSICOLOGICA LTDA;-14.8847928;-44.084123;DOM DANIEL;75;CENTRO
118184;Caiu em cidade errada. Esperado: IBGE 280710;280710;MOVIMENTE ESTUDIO DE PILATES;-10.4417;-37.484;NELSON PINTO DE MENDONCA;183;CENTRO
118915;Caiu em cidade errada. Esperado: IBGE 421205;421205;CENTRAL MUNICIPAL DE REDE DE FRIO CMRF;-27.2936892249;-50.1635742188;CENTRO;20;CENTRO
150959;Caiu em cidade errada. Esperado: IBGE 130290;130290;POSTO DE SAUDE NSR DE LOURDES;-3.6943369093;-58.3483886719;COMUNIDADES NSR DE LOURDES;S/N;POLO 8
154946;Caiu em cidade errada. Esperado: IBGE 292665;292665;POSTO DE SAUDE CAMPINARANA;-15.276574;-40.276574;RUA ITAMBE;58;ZONA RURAL
175544;Fora do Brasil ou no mar;210710;UBS SEDE 3;-2.5147;-44.02406;RUA RIO BRANCO;S/N;CENTRO
179558;Caiu em cidade errada. Esperado: IBGE 130353;130353;CENTRO DE REFERENCIA PARA ATENDIMENTO DAS SINDROMES GRIPAIS;-2.2406396094;-60.1721191406;AV PADRE CALERI;S/N;TANCREDO NEVES
185787;Caiu em cidade errada. Esperado: IBGE 291250;291250;CENTRO DE ATENCAO PSICOSSOCIAL DE IBIPITANGA CAPS I;-12.56847;-42.390575;RUA;S/N;CENTRO
189332;Caiu em cidade errada. Esperado: IBGE 314690;314690;UBS DE APOIO;-19.2656;-44.4453;ANTONIO GOMES DOS REIS;63;NOSSA SENHORA DE LOU
196347;Caiu em cidade errada. Esperado: IBGE 311940;311940;UPA24H DR WALTER LUIZ WINTER MAIA CORONEL FABRICIANO;-19.53461;-42.62976;AVENIDA MANAIM;S/N;SILVIO PEREIRA II
196916;Caiu em cidade errada. Esperado: IBGE 290620;290620;CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19 CANARANA;-11.6790088119;-41.770427227;SEDE;S/N;CENTRO
210552;Caiu em cidade errada. Esperado: IBGE 293160;293160;CENTRAL MUNICIPAL DE REDE DE FRIOS DE TEOLANDIA;-13.6058329459;-39.4902062416;RUA QUINTILIANO FERNANDES VIVEIROS;S/N;CENTRO
216518;Caiu em cidade errada. Esperado: IBGE 291390;291390;CENTRAL DE ABASTECIMENTO DE IMUNOBIOLOGICOS DE IPIAU;-14.13775;-39.73596;JURACI MAGALHAES;S/N;CENTRO
216542;Caiu em cidade errada. Esperado: IBGE 260790;260790;BEM ESTAR SAUDE;-8.08984;-34.968812;7 DE SETEMBRO;33;CAVALEIRO
216712;Caiu em cidade errada. Esperado: IBGE 290620;290620;CENTRAL DE REDE DE FRIOS DE CANARANA;-11.6789247582;-41.7687535286;RUA DA SECRETARIA DE SAUDE;S/N;CENTRO
219002;Caiu em cidade errada. Esperado: IBGE 291840;291840;CONSULTORIO MEDICO BRUNO REIS;-9.3923084;-40.4823916;RUA DA IMPERATRIZ;S/N;PADRE VICENTE
219649;Caiu em cidade errada. Esperado: IBGE 220490;220490;ACADEMIA DA SAUDE SAO DOMINGOS;-7.40439;-41.32557;POVOADO SAO DOMINGOS;S/N;ZONA RURAL
241180;Caiu em cidade errada. Esperado: IBGE 150600;150600;POSTO DE SAUDE ESPIRITO SANTO;-2.035384;-53.272443;COMUNIDADE ESPERETO SANTO;S/N;ZONA RURAL
247774;Caiu em cidade errada. Esperado: IBGE 521770;521770;UPA DR OSIRES DE URZEDA NATAL;-17.30541;-49.26531;RUA 6 ESQUINA COM AVENIDA B;S/N;SETOR BELA VISTA
257990;Caiu em cidade errada. Esperado: IBGE 292910;292910;POSTO SATELITE MARIA BORGES MAIA;-12.791;-39.03;SAO JOSE DOS PILOES;S/N;ZONA RURAL
272507;Caiu em cidade errada. Esperado: IBGE 411640;411640;UNIDADE BASICA DE SAUDE 24H;-22.5444;-51.479;RUA JAIR DA SILVA OLIVEIRA;424;CENTRO
278068;Caiu em cidade errada. Esperado: IBGE 160025;160025;PM ITA DIVISAO DE VIGILANCIA SANITARIA;-0.596;-50.671;AVENIDA LAURITA DE ALMEIDA BARBOSA;1134;CENTRO
295523;Caiu em cidade errada. Esperado: IBGE 311535;311535;CVRD AREA OPERACIONAL DE FAZENDAO;-20.144624;-43.411133;CAMINHO ESTRADA DE FERRO VITORIA MINAS S N KM 596;S/N;ZONA RURAL
297933;Caiu em cidade errada. Esperado: IBGE 260110;260110;ESF NOSSA SRA DO CARMO I;-7.7684329;-40.2510846;QUADRA I;S/N;ADELINO
298123;Caiu em cidade errada. Esperado: IBGE 421870;421870;DROGARIA NOSSA SENHORA APARECIDA;-28.3622701;-49.0268422;ESTADUAL SC 438 KM 06;S/N;SAO MARTINHO
