CNES;Latitude_Nova;Longitude_Nova;Qualidade_Busca;Endereco_Google
21830;-24.784639581358018;-48.82023782084055;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
25518;-25.911195067472;-49.478979652707686;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
31542;-6.641308425047829;-36.25706025929347;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
32107;-19.74203901235189;-43.83433236681041;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
78719;-10.249156758726098;-67.33919790163078;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
82775;-23.647230886121164;-46.650005793577364;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
108928;-13.810730361700688;-41.99196944870623;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
109088;-15.320578354539697;-44.85054588184691;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
118184;-10.755793706421821;-37.828404058868394;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
118915;-27.559949445329668;-50.162499366680684;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
150959;-4.988567587300125;-58.06224849673357;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
154946;-15.426084578531237;-40.65194825249619;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
175544;-2.9738521757459324;-43.7767867156018;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
179558;-1.3712060329857847;-59.9898099814925;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
185787;-12.860104906012225;-42.36012460090876;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
189332;-19.377218968440623;-44.69164852358623;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
196347;-19.459546116709262;-42.68998093933194;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
196916;-11.753424736133129;-41.698677799273;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
210552;-13.553217312367874;-39.495846092068724;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
216518;-14.053819035924974;-39.724238839250376;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
216542;-8.15143361709527;-35.00538505042916;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
216712;-11.753424736133129;-41.698677799273;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
219002;-9.557425191825818;-40.27499194496835;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
219649;-7.648758206264902;-41.649285993720035;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
241180;-2.1202384668021135;-53.66094138632162;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
247774;-17.532006160583553;-49.53792172137219;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
257990;-12.849398236351357;-39.093460812779384;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
272507;-22.913747511591037;-51.79732916592307;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
278068;0.5393152822123878;-50.638134853539604;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
295523;-20.07681200952709;-43.4061968179354;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
297933;-7.607105585474046;-40.484690194832126;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
298123;-28.483241460459343;-49.03650244193014;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
300209;-12.097427937092155;-60.24881583592655;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
371165;-21.080277558494632;-51.13005112805703;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
382507;-21.38800279860158;-45.967152033262586;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
407097;-20.41201987826045;-42.91585031982038;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
413615;-10.177771029707145;-43.94222541088882;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
421774;-7.18424168235664;-35.257141155216225;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
422231;-19.74203901235189;-43.83433236681041;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
423327;-22.441341542055785;-44.48409608753645;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
429066;-22.914787973332047;-43.048239501201415;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
446157;-5.787303885306434;-35.36617894528357;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
451185;-21.915547354183367;-52.17728071335932;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
451959;-14.418831071164217;-49.0912702807668;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
471992;-7.18424168235664;-35.257141155216225;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
480754;-10.48641603785673;-40.11494755051539;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
484903;-14.053819035924974;-39.724238839250376;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
486434;-7.688333084689771;-37.26465438353917;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
487392;-20.024037279452553;-44.06784993411982;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
501921;-13.553217312367874;-39.495846092068724;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
501964;-13.553217312367874;-39.495846092068724;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
504726;-21.279728499342802;-46.80607706342699;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
507172;-7.777693619503204;-39.053763637383646;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
511005;-5.76093197280297;-36.38962332956057;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
514721;-9.145172361732099;-35.4070625763262;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
552739;-28.321904776443674;-53.895021931565346;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
553379;-22.504492334041856;-43.63231391257062;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
553395;-22.504492334041856;-43.63231391257062;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
561096;-20.914031594049685;-49.26437628211628;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
602272;-27.194952938007503;-51.40836850118705;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
605875;-22.914787973332047;-43.048239501201415;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
624012;-21.915547354183367;-52.17728071335932;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
638056;-21.461944510480254;-45.81629619706542;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
647020;-29.0979455083388;-51.45552139996552;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
649422;-5.8828663986700835;-42.955382131477556;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
653713;-22.87847541509291;-47.21041424406231;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
659517;-19.217564020143964;-42.14731845401621;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
669970;-30.92364390371593;-51.788446984556195;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
671711;-22.914787973332047;-43.048239501201415;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
692530;-13.145069293899793;-50.24895099623854;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
692913;-28.483241460459343;-49.03650244193014;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
694509;-6.442283754686756;-38.165286186704854;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
695572;-26.969571290073475;-52.531397871789764;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
705667;-4.041015849973112;-40.96891092504815;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
731137;-26.329864219742284;-53.53450498761483;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
732494;-21.99257350004503;-51.34225905983471;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
745308;-20.129311810989538;-40.30082009831746;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
759465;-11.753424736133129;-41.698677799273;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
760757;-13.074907246790248;-39.85324761347264;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
767093;-20.400739611521058;-40.51266543978907;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
769452;-10.48641603785673;-40.11494755051539;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
769703;-20.329778722277243;-43.330596236428875;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
807214;-26.058349807877935;-48.866595685957115;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
808318;-14.63488861091521;-59.33347016246414;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
813672;-6.5930608197200895;-43.18804523300109;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
813915;-25.8802579957929;-52.958758811414036;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
816191;-0.26258119352803183;-50.72541512764287;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
817155;-15.781609830540443;-47.796963417310145;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
818704;-7.843905719369575;-73.22181478116576;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
822620;-6.390785673711732;-38.51946035851554;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
826553;-6.49458819127583;-53.88773813880332;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
828580;-10.219921867165873;-48.154051247442894;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
843032;-8.376819769233668;-65.8123655918361;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
843059;-22.155726811838576;-54.15113483728313;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
845442;-18.859412198620227;-45.82340442498968;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
846414;-9.171703349163103;-42.536061368443576;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
850969;-8.939732670393816;-35.75967046902292;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
852767;-28.826652846951948;-49.2540040555719;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
860433;-22.482092931821423;-42.14070206765431;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
874779;-16.703677830273612;-49.106248867368954;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
879665;-5.787303885306434;-35.36617894528357;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
911887;-3.8772259215463247;-38.45891319681229;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
913286;-15.276884266360598;-49.6372582685618;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
916056;-27.194952938007503;-51.40836850118705;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
921629;-6.152476353554787;-50.490788509951514;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
921769;-27.379246933554647;-48.57871594357497;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
923796;-15.469459055855717;-45.45805260090916;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
926078;-20.400739611521058;-40.51266543978907;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
935050;-27.194952938007503;-51.40836850118705;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
937789;-24.190854822027923;-54.23212511690603;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
942898;-15.590527272341802;-55.81932821863121;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
946672;-20.129311810989538;-40.30082009831746;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
949949;-10.662024064531488;-37.59840095063172;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
960985;-3.0730903892323584;-45.00402419097276;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
965537;-7.429120296494559;-34.84243250703125;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
966274;-3.1347219239524864;-51.97477196470364;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
966282;-3.1347219239524864;-51.97477196470364;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
966304;-3.1347219239524864;-51.97477196470364;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
966320;-3.1347219239524864;-51.97477196470364;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
967777;-18.75264363913467;-41.16907037580557;CENTROIDE_IBGE;Centro Geográfico do Município (Fallback)
