CNES;Latitude_Nova;Longitude_Nova;Endereco_Google;Qualidade_Busca
175;-8.354271599999999;-34.9551272;R. José Miguel de Santana, 14 - Lot. Aguas Compridas, Cabo de Santo Agostinho - PE, 54505-970, Brazil;ROOFTOP
256;-8.225731;-34.9686043;Tv. Santa Rosa, 36 - Pontezinha, Cabo de Santo Agostinho - PE, 54589-545, Brazil;RANGE_INTERPOLATED
760;-8.0638239;-34.9136595;R. Carlos Gomes, 932 - Prado, Recife - PE, 50751-130, Brazil;ROOFTOP
868;-8.0797525;-34.9705667;R. Onze de Agosto, 548 - Totó, Recife - PE, 50791-475, Brazil;ROOFTOP
1015;-8.0311553;-34.9017921;R. Cônego Barata, s/n - Tamarineira, Recife - PE, 52110-210, Brazil;ROOFTOP
1139;-8.0641333;-34.8772184;R. 1º de Março, 90 - Santo Antônio, Recife - PE, 50010-070, Brazil;ROOFTOP
1341;-8.055610099999999;-34.9094479;R. Dezenove de Novembro, 48 - Madalena, Recife - PE, 50610-240, Brazil;ROOFTOP
1651;-8.064091099999999;-34.8968832;Empresarial Thomas Edison - Av. Gov. Agamenon Magalhães, 4775 - Boa Vista, Recife - PE, 50070-160, Brazil;ROOFTOP
1708;-7.9940002;-34.8400759;R. Carmelita Muniz de Araújo - Casa Caiada, Olinda - PE, 53030-010, Brazil;GEOMETRIC_CENTER
1864;-8.0573082;-34.897453;Av. Gov. Agamenon Magalhães, 73 - Boa Vista, Recife - PE, 52021-170, Brazil;ROOFTOP
2062;-8.1268245;-34.9578615;R. Ibitiara, 154 - COHAB, Recife - PE, 51330-240, Brazil;ROOFTOP
2100;-8.0870537;-34.901967;Rua São José - Imbiribeira, Recife - PE CEP: - Pina, Recife - PE, 51150-185, Brazil;GEOMETRIC_CENTER
2232;-10.9026392;-37.0626239;Av. Simeão Sobral, 1312 - 18 do Forte, Aracaju - SE, 49072-720, Brazil;ROOFTOP
2356;-10.920879;-37.054219;R. Riachuelo, 965 B - São José, Aracaju - SE, 49015-160, Brazil;ROOFTOP
2364;-10.8973808;-37.0574175;Rua São João - Industrial, Aracaju - SE, 49065-710, Brazil;GEOMETRIC_CENTER
2445;-10.9249681;-37.1146634;Rua A Sao Conrado - Aracaju, São Cristóvão - SE, 49042-163, Brazil;GEOMETRIC_CENTER
2623;-10.9055258;-37.0970623;R. B, 372 - Veneza, Aracaju - SE, 49044-563, Brazil;ROOFTOP
2712;-10.894795;-37.095032;R. Rad. José da Silva Lima, 594 - Jardim Centenário, Aracaju - SE, 49090-250, Brazil;ROOFTOP
2860;-11.1895804;-38.0044664;Av. Gumercindo Bessa, 222 - Tobias Barreto, SE, 49300-000, Brazil;ROOFTOP
2887;-10.9765966;-37.0697645;Cj. Augusto Franco - R. Promotor Joaquim Valença, 210 - Farolândia, Aracaju - SE, 49030-680, Brazil;ROOFTOP
3042;-10.923836;-37.0454019;Praça Getúlio Vargas, 73 - São José, Aracaju - SE, 49015-340, Brazil;ROOFTOP
3123;-10.8780056;-37.0946522;R. Principal, 101 - Soledade, Aracaju - SE, 49095-000, Brazil;ROOFTOP
3409;-10.8991232;-37.0793673;R. Sr. do Bonfim & R. Santos Dumont - Santos Dumont, Aracaju - SE, 49087-600, Brazil;GEOMETRIC_CENTER
3972;-12.8936156;-38.4860766;R. Antônio Balbino - Plataforma, Salvador - BA, Brazil;GEOMETRIC_CENTER
4022;-12.9145503;-38.3621234;Caminho 16 - Mussurunga, Salvador - BA, Brazil;GEOMETRIC_CENTER
4235;-13.012359;-38.4701062;R. Visc. de Itaborahy, 1157/1229 - Nordeste do Amaralina, Salvador - BA, 41706-690, Brazil;ROOFTOP
4596;-12.9351978;-38.4356476;R. Lima e Silva - Nova Sussuarana, Salvador - BA, 41215-140, Brazil;GEOMETRIC_CENTER
5053;-12.9820678;-38.5159854;Rua da Forca - Dois de Julho, Salvador - BA, 40301-155, Brazil;GEOMETRIC_CENTER
5185;-12.9351894;-38.4357054;R. Lima e Silva, 401 - Liberdade, Salvador - BA, 40375-017, Brazil;ROOFTOP
5843;-12.979648;-38.4318882;R. Simões Filho, 46 - Boca do Rio, Salvador - BA, 41705-010, Brazil;ROOFTOP
6165;-12.9913128;-38.520489;R. João das Botas - Canela, Salvador - BA, 40110-160, Brazil;GEOMETRIC_CENTER
6556;-12.9503175;-38.4978139;Estr. da Liberdade, 134 - Liberdade, Salvador - BA, 40375-016, Brazil;ROOFTOP
6572;-12.9816742;-38.4666367;Av. Antônio Carlos Magalhães, 4009 - Parque Bela Vista, Salvador - BA, 41100-140, Brazil;ROOFTOP
6718;-12.9836244;-38.5136414;Shopping Piedade - Rua Conselheiro Junqueira Ayres, 165 - 4º piso - Dois de Julho, Salvador - BA, 40070-080, Brazil;ROOFTOP
6726;-12.9797657;-38.5143303;Largo de São Bento - Barroquinha, Salvador - BA, 40024-108, Brazil;GEOMETRIC_CENTER
6742;-12.9422646;-38.5002363;R. Artur Santos, n°1 - Mares, Salvador - BA, 40445-090, Brazil;ROOFTOP
6769;-12.8527485;-38.4690917;Tv. 2 de Julho - Coutos, Salvador - BA, 40760-210, Brazil;GEOMETRIC_CENTER
7587;-12.94587;-38.48717200000001;R. Direta do Curuzu, s/n - Curuzu, Salvador - BA, 40365-230, Brazil;ROOFTOP
7749;-1.200203;-48.0253917;Agrovila - Santa Terezinha, Castanhal - PA, 68745-000, Brazil;GEOMETRIC_CENTER
