CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
2186;2800300002186;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;CEMAR SIQUEIRA CAMPOS;;;M;;;M ;MUNICIPAL;4;36;49075000;RUA BAHIA;S/N;SIQUEIRA CAMPOS;7937110900;-10.9160359819;-37.0708751678;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2208;2800300002208;28;280030;13128798001680.0;SECRETARIA DE ESTADO DA SAUDE DE SERGIPE;CENTRO DE ATENCAO INTEGRAL A SAUDE DA MULHER CAISM;;;E;;;E ;ESTADUAL;3;36;49035190;RUA VARIANTE 2;S/N;CAPUCHO;3218-9400;-10.91224;-37.09251;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;caism.saude@saude.se.gov.br;1236.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2216;2800300002216;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US OSVALDO LEITE TERRA DURA;;;M;;;M ;MUNICIPAL;4;2;49043800;AV AZUL;S/N;SANTA MARIA;3179-3008;-11.0047145;-37.1071635;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2232;2800300002232;28;280030;;ASSOCIACAO ARACAJUANA DE BENEFICENCIA;HOSPITAL SANTA ISABEL;;;E;;;E ;ESTADUAL;3;5;49072720;SIMEAO SOBRAL;1312;DEZOITO DO FORTE;79 32124900;-10.5921128;-36.9416223;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);13025507000141.0;dirclin.hsi2023@gmail.com;3999.0;1.0;1.0;1.0;1.0;1.0;1.0;;SIM
2240;2800300002240;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;CEMAR OFTALMOLOGIA;;;M;;;M ;MUNICIPAL;4;36;49031190;RUA BAHIA;S/N;SIQUEIRA CAMPOS;(79)37110920/0942;-10.9150972868;-37.0708775254;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2259;2800300002259;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US MARIA DO CEU SANTOS PEREIRA;;;M;;;M ;MUNICIPAL;4;2;49010160;RUA MARUIM;198;CENTRO;3179-1374;-10.9145955679;-37.049687318;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2275;2800300002275;28;280030;;HOSPITAL SAO JOSE;HOSPITAL SAO JOSE;;;M;;;M ;MUNICIPAL;4;5;49065000;AV JOAO RIBEIRO;846;SANTO ANTONIO;79 2105-1000;-10.90192885;-37.0548747315;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);13016621000105.0;;3999.0;1.0;0.0;0.0;1.0;1.0;1.0;;SIM
2283;2800300002283;28;280030;;FUNDACAO DE BENEFICENCIA HOSPITAL DE CIRURGIA;HOSPITAL DE CIRURGIA;;;E;;;E ;ESTADUAL;4;5;49055210;AV DESEMBARGADOR MAYNARD;174;CIRURGIA;7921067312;-10.9184800236;-37.0705854893;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);13016332000106.0;direcao@fbhc.org.br;3069.0;1.0;0.0;0.0;1.0;1.0;1.0;;SIM
2291;2800300002291;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US GERALDO MAGELA DE MENEZES SAO CONRADO;;;M;;;M ;MUNICIPAL;4;2;49042256;CENTRAL IV;S/N;SAO CONRADO;31791704;-10.9703479518;-37.0901870728;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
2305;2800300002305;28;280030;13128780000878.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US ADEL NUNES BAIRRO AMERICA;;;M;;;M ;MUNICIPAL;4;2;49080300;R HAITI;S/N;AMERICA;(79)3179-6888;-10.9141226;-37.0870502;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;saude@aracaju.se.gov.br;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;;SIM
