CO_CNES;CO_UNIDADE;CO_UF;CO_IBGE;NU_CNPJ_MANTENEDORA;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_NATUREZA_ORGANIZACAO;DS_NATUREZA_ORGANIZACAO;TP_GESTAO;CO_NIVEL_HIERARQUIA;DS_NIVEL_HIERARQUIA;CO_ESFERA_ADMINISTRATIVA;DS_ESFERA_ADMINISTRATIVA;CO_ATIVIDADE;TP_UNIDADE;CO_CEP;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;NU_TELEFONE;NU_LATITUDE;NU_LONGITUDE;CO_TURNO_ATENDIMENTO;DS_TURNO_ATENDIMENTO;NU_CNPJ;NO_EMAIL;CO_NATUREZA_JUR;ST_CENTRO_CIRURGICO;ST_CENTRO_OBSTETRICO;ST_CENTRO_NEONATAL;ST_ATEND_HOSPITALAR;ST_SERVICO_APOIO;ST_ATEND_AMBULATORIAL;CO_MOTIVO_DESAB;CO_AMBULATORIAL_SUS
2828;2800300002828;28;280030;;UNIDADE MEDICA HOSPITALAR SANTO ANTONIO LTDA;CLINICA E HOSPITAL SANTO ANTONIO COT;;;M;;;M ;MUNICIPAL;4;62;49035660;AV DESEMBARGADOR MAYNARD;221;CIRURGIA;(79)32145186;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13165899000144.0;chsa@infonet.com.br;2000.0;1.0;0.0;0.0;1.0;1.0;1.0;4.0;NAO
3026;2800300003026;28;280030;11718406000120.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;US DA EMSURB;;;M;;;M ;MUNICIPAL;4;1;49035000;RUA ACRE;S/N;SIQUEIRA CAMPOS;(79)2592485;;;2.0;ATENDIMENTO SOMENTE A TARDE;;saude@aracaju.se.gov.br;1201.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;NAO
3255;2800300003255;28;280030;;UNIDADE LABORATORIAL DE ANALISES BIOMEDICAS LTDA;UNILAB;;;M;;;M ;MUNICIPAL;4;4;49010160;RUA MARUIM;463;CENTRO;(79)2142991;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13352950000127.0;unilab@infonet.com.br;2062.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;NAO
28339;2800300028339;28;280030;11718406000120.0;SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU;SAMU 192 ARACAJU OEK4208;;;M;;;M ;MUNICIPAL;4;42;49075540;RUA PORTO ALEGRE;S/N;SIQUEIRA CAMPOS;(79)31791086;;;6.0;ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS);;saude@aracaju.se.gov.br;1201.0;;;;;1.0;0.0;8.0;NAO
2420066;2804402420066;28;280440;13111679000138.0;PREFEITURA MUNICIPAL DE NEOPOLIS;UNIDADE DE SAUDE DA FAMILIA DO POV FLOR DO BREJO;;;D;;;D ;DUPLA;4;2;49980000;POVOADO FLOR DO BREJO;S/N;POV FLOR DO BREJO;(79)3441277;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;valdojunior@infonet.com.br;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;NAO
2420155;2800102420155;28;280010;13110564000129.0;PREFEITURA MUNICIPAL DE AMPARO DE SAO FRANCISCO;POSTO DE SAUDE DA FAMILIA DE AMPARO;;;M;;;M ;MUNICIPAL;4;1;49920000;RUA DEP MARTINHO GUIMARAES;S/N;CENTRO;(79) 3611077;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;SIM
2420163;2800102420163;28;280010;13110564000129.0;PREFEITURA MUNICIPAL DE AMPARO DE SAO FRANCISCO;PS DE AMPARO;;;M;;;M ;MUNICIPAL;4;1;49920000;ROD PEDRO DE MEDEIRO CHAVES;80;CENTRO;(79)3611077;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1031.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;NAO
2420252;2804702420252;28;280470;;SINDICATO DOS TRABALHADORES RURAIS DE NSRA DE LOUDES;SINDICATO DOS TRABALHADORES RURAIS DE N SRA DE LOURDES;;;E;;;E ;ESTADUAL;4;2;49890000;RUA DA QUADRA;43;CENTRO;(79)316 1001;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;13178512000194.0;;3131.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;NAO
2420341;2805502420341;28;280550;13106935000107.0;PREFEITURA MUNICIPAL DE POCO VERDE;USF RIO REAL;;;M;;;M ;MUNICIPAL;4;2;49490000;RUA GABRIEL BENEVIDES DO ROSARIO;S/N;NACAO;;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;;1244.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;SIM
2420503;2803502420503;28;280350;5000601000118.0;SECRETARIA MUNICIPAL DE SAUDE DE LAGARTO;P S POVOADO OITEIROS;;;M;;;M ;MUNICIPAL;4;1;49400000;POVOADO OITEIROS;87;ZONA RURAL;;;;3.0;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;;sms@lagartosaude.com.br;1031.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;NAO
