CNES;Motivo_Erro
82449;Coordenada Vazia ou Inválida
379522;Coordenada Vazia ou Inválida
828742;Coordenada Vazia ou Inválida
883654;Coordenada Vazia ou Inválida
984779;Coordenada Vazia ou Inválida
1049011;Coordenada Vazia ou Inválida
2852071;Coordenada Vazia ou Inválida
2889056;Coordenada Vazia ou Inválida
2945975;Coordenada Vazia ou Inválida
3234177;Coordenada Vazia ou Inválida
4040775;Coordenada Vazia ou Inválida
4307208;Coordenada Vazia ou Inválida
4362853;Coordenada Vazia ou Inválida
4610784;Coordenada Vazia ou Inválida
4659465;Coordenada Vazia ou Inválida
4714121;Coordenada Vazia ou Inválida
4745396;Coordenada Vazia ou Inválida
5607264;Coordenada Vazia ou Inválida
6893317;Coordenada Vazia ou Inválida
7116330;Coordenada Vazia ou Inválida
7653956;Coordenada Vazia ou Inválida
9270361;Coordenada Vazia ou Inválida
9987711;Coordenada Vazia ou Inválida
175;Fora do Brasil ou no mar
256;Caiu em cidade errada. Esperado: IBGE 260290
760;Caiu em cidade errada. Esperado: IBGE 261160
868;Fora do Brasil ou no mar
1015;Fora do Brasil ou no mar
1139;Fora do Brasil ou no mar
1341;Caiu em cidade errada. Esperado: IBGE 261160
1651;Fora do Brasil ou no mar
1708;Fora do Brasil ou no mar
1864;Caiu em cidade errada. Esperado: IBGE 261160
2062;Caiu em cidade errada. Esperado: IBGE 261160
2100;Caiu em cidade errada. Esperado: IBGE 261160
2232;Caiu em cidade errada. Esperado: IBGE 280030
2356;Caiu em cidade errada. Esperado: IBGE 280030
2364;Caiu em cidade errada. Esperado: IBGE 280030
2445;Caiu em cidade errada. Esperado: IBGE 280030
2623;Caiu em cidade errada. Esperado: IBGE 280030
2712;Caiu em cidade errada. Esperado: IBGE 280030
2860;Caiu em cidade errada. Esperado: IBGE 280740
2887;Caiu em cidade errada. Esperado: IBGE 280030
3042;Caiu em cidade errada. Esperado: IBGE 280030
3123;Caiu em cidade errada. Esperado: IBGE 280030
3409;Caiu em cidade errada. Esperado: IBGE 280030
3972;Caiu em cidade errada. Esperado: IBGE 292740
4022;Fora do Brasil ou no mar
4235;Fora do Brasil ou no mar
4596;Caiu em cidade errada. Esperado: IBGE 292740
5053;Fora do Brasil ou no mar
5185;Caiu em cidade errada. Esperado: IBGE 292740
5843;Caiu em cidade errada. Esperado: IBGE 292740
6165;Fora do Brasil ou no mar
6556;Fora do Brasil ou no mar
6572;Fora do Brasil ou no mar
6718;Fora do Brasil ou no mar
6726;Fora do Brasil ou no mar
6742;Fora do Brasil ou no mar
6769;Caiu em cidade errada. Esperado: IBGE 292740
7587;Fora do Brasil ou no mar
7749;Caiu em cidade errada. Esperado: IBGE 150240
7854;Caiu em cidade errada. Esperado: IBGE 150240
7935;Caiu em cidade errada. Esperado: IBGE 150240
8133;Caiu em cidade errada. Esperado: IBGE 353440
8273;Caiu em cidade errada. Esperado: IBGE 353440
8397;Caiu em cidade errada. Esperado: IBGE 353440
8451;Caiu em cidade errada. Esperado: IBGE 353440
9172;Caiu em cidade errada. Esperado: IBGE 354990
12564;Fora do Brasil ou no mar
12572;Fora do Brasil ou no mar
12688;Fora do Brasil ou no mar
12874;Fora do Brasil ou no mar
12912;Fora do Brasil ou no mar
12920;Fora do Brasil ou no mar
13048;Fora do Brasil ou no mar
13064;Fora do Brasil ou no mar
13102;Caiu em cidade errada. Esperado: IBGE 410020
13560;Caiu em cidade errada. Esperado: IBGE 410230
13595;Caiu em cidade errada. Esperado: IBGE 410230
13692;Caiu em cidade errada. Esperado: IBGE 410400
14087;Caiu em cidade errada. Esperado: IBGE 410425
17434;Caiu em cidade errada. Esperado: IBGE 410690
18279;Caiu em cidade errada. Esperado: IBGE 352940
18708;Caiu em cidade errada. Esperado: IBGE 412230
20354;Fora do Brasil ou no mar
20362;Caiu em cidade errada. Esperado: IBGE 260290
20400;Caiu em cidade errada. Esperado: IBGE 260290
20451;Fora do Brasil ou no mar
20524;Fora do Brasil ou no mar
21806;Caiu em cidade errada. Esperado: IBGE 500270
21830;Caiu em cidade errada. Esperado: IBGE 410020
21911;Caiu em cidade errada. Esperado: IBGE 410580
22160;Fora do Brasil ou no mar
22861;Caiu em cidade errada. Esperado: IBGE 310620
24589;Caiu em cidade errada. Esperado: IBGE 330630
24864;Caiu em cidade errada. Esperado: IBGE 355030
24937;Caiu em cidade errada. Esperado: IBGE 355030
24961;Caiu em cidade errada. Esperado: IBGE 355030
25216;Caiu em cidade errada. Esperado: IBGE 355030
25488;Caiu em cidade errada. Esperado: IBGE 412120
25496;Caiu em cidade errada. Esperado: IBGE 412120
25518;Caiu em cidade errada. Esperado: IBGE 412120
25623;Caiu em cidade errada. Esperado: IBGE 150240
26174;Caiu em cidade errada. Esperado: IBGE 410400
26441;Fora do Brasil ou no mar
26468;Caiu em cidade errada. Esperado: IBGE 280030
27235;Caiu em cidade errada. Esperado: IBGE 310620
27456;Caiu em cidade errada. Esperado: IBGE 310620
27510;Caiu em cidade errada. Esperado: IBGE 310620
28010;Caiu em cidade errada. Esperado: IBGE 310620
28460;Fora do Brasil ou no mar
29009;Fora do Brasil ou no mar
29068;Caiu em cidade errada. Esperado: IBGE 261160
29491;Fora do Brasil ou no mar
29556;Caiu em cidade errada. Esperado: IBGE 350570
29602;Caiu em cidade errada. Esperado: IBGE 354390
30007;Fora do Brasil ou no mar
30074;Caiu em cidade errada. Esperado: IBGE 354390
30120;Fora do Brasil ou no mar
30147;Caiu em cidade errada. Esperado: IBGE 330455
30260;Fora do Brasil ou no mar
30325;Caiu em cidade errada. Esperado: IBGE 330455
30589;Caiu em cidade errada. Esperado: IBGE 355030
30619;Caiu em cidade errada. Esperado: IBGE 355030
30899;Caiu em cidade errada. Esperado: IBGE 353440
31151;Caiu em cidade errada. Esperado: IBGE 330455
31534;Caiu em cidade errada. Esperado: IBGE 420060
31542;Caiu em cidade errada. Esperado: IBGE 250153
31631;Caiu em cidade errada. Esperado: IBGE 260460
32107;Caiu em cidade errada. Esperado: IBGE 315780
32867;Caiu em cidade errada. Esperado: IBGE 250750
33006;Caiu em cidade errada. Esperado: IBGE 290410
33308;Caiu em cidade errada. Esperado: IBGE 330455
33316;Fora do Brasil ou no mar
33464;Fora do Brasil ou no mar
33545;Caiu em cidade errada. Esperado: IBGE 330455
33561;Caiu em cidade errada. Esperado: IBGE 355710
33979;Fora do Brasil ou no mar
33987;Fora do Brasil ou no mar
33995;Fora do Brasil ou no mar
34010;Fora do Brasil ou no mar
34339;Fora do Brasil ou no mar
34665;Caiu em cidade errada. Esperado: IBGE 421660
34703;Caiu em cidade errada. Esperado: IBGE 355030
34770;Caiu em cidade errada. Esperado: IBGE 355030
34878;Caiu em cidade errada. Esperado: IBGE 355030
34908;Caiu em cidade errada. Esperado: IBGE 355030
34916;Caiu em cidade errada. Esperado: IBGE 355030
35521;Caiu em cidade errada. Esperado: IBGE 240750
35637;Caiu em cidade errada. Esperado: IBGE 420460
36021;Fora do Brasil ou no mar
36137;Fora do Brasil ou no mar
36145;Fora do Brasil ou no mar
36900;Caiu em cidade errada. Esperado: IBGE 500370
37338;Caiu em cidade errada. Esperado: IBGE 313420
